code,error_message,in_local_master_md_sections,in_kb_indexed_table_version,verified_in_kb_via_retrieve_test
101~120,Indoor Unit Communication,yes,assumed (full original table),not sampled
101,Indoor Unit Communication Error - check the DC output voltage at the communication terminal,yes,assumed (full original table),not sampled
102,Indoor Unit/Outdoor Unit communication time-out error: error in more than 6 packets,yes,assumed (full original table),not sampled
103,Communication Error Between Indoor Unit Panel and Main,yes,assumed (full original table),not sampled
104,"communication error : ""IF ↔ Indoor unit"" some disconnect in Indoor unit (communicating) only [GHP-R22]",yes,assumed (full original table),not sampled
105,communication Error in between sensing space module and Indoor unit,yes,assumed (full original table),not sampled
106,Communication Error Between LCD and Panel,yes,assumed (full original table),not sampled
107,Communication Error Between LCD Outdoor Unit,yes,assumed (full original table),not sampled
108,Duplicated assigned IDU main address Error,yes,assumed (full original table),not sampled
109,Communication error - Indoor address tracking failed by ODU (IDU main address is not confirmed),yes,assumed (full original table),not sampled
121,Error of temperature sensor in the indoor unit (open/short) Room senser,yes,assumed (full original table),not sampled
122,Error of heat exchanger-in sensor on the indoor unit (open/short) Eva in,yes,assumed (full original table),not sampled
123,Error of heat exchanger-out sensor on the indoor unit (open/short) Eva out,yes,assumed (full original table),not sampled
124,Communication error between indoor unit and outdoor unit. (error is displayed on outdoor unit),yes,assumed (full original table),not sampled
125,Eva_Mid 2 termperature sensor of outdoor unit (open/short),yes,assumed (full original table),not sampled
126,IDU discharge temperature sensor short/open (for Ducted & AHU Kit),yes,assumed (full original table),not sampled
127,[GHP-R22] Indoor Temperature(Suction Temperature) Sensor breakaway Error,yes,assumed (full original table),not sampled
128,Indoor unit heat exchanger in temp sensor detached,yes,assumed (full original table),not sampled
129,Indoor unit heat exchanger out temp sensor detached,yes,assumed (full original table),not sampled
130,Indoor unit heat exchange in and out temprerature sensor is detached,yes,assumed (full original table),not sampled
131,Sub(Electronic) Heater Sensor 1 Error,yes,assumed (full original table),not sampled
132,Sub(Electronic) Heater Sensor 2 Error,yes,assumed (full original table),not sampled
133,Sub(Electronic) Heater Sensor 3 Error,yes,assumed (full original table),not sampled
134,"Shutter Sensor Error (In case of model which have two shutter, upper Error : Aurora)",yes,assumed (full original table),not sampled
135,Indoor fan cleaner frequency feedback error,yes,assumed (full original table),not sampled
136,"Shutter Sensor Error (In case, model which have two shutter Error in bottom : Aurora)",yes,assumed (full original table),not sampled
137,VOC sensor of ERV (open/short),yes,assumed (full original table),not sampled
138,Gas sensor of ERV (open/short),yes,assumed (full original table),not sampled
139,CO2 Sensor of ERV (open/short),yes,assumed (full original table),not sampled
140,Indoor Dust sensor Error,yes,assumed (full original table),not sampled
141,IAQ CO2 SENSOR OPEN/SHORT ERROR,yes,assumed (full original table),not sampled
142,Indoor Unit Humid Sensor short/open,yes,assumed (full original table),not sampled
143,Sensing space Sensor Error,yes,assumed (full original table),not sampled
144,Eva2_in Sensor of Indoor Unit short/open,yes,assumed (full original table),not sampled
145,Eva2_out Sensor of Indoor Unit  short/open,yes,assumed (full original table),not sampled
146,EEV Inlet Sensor short/open,yes,assumed (full original table),not sampled
147,Indoor Eva2_in Sensor break away Error,yes,assumed (full original table),not sampled
148,Indoor Eva2_out Sensor break away Error,yes,assumed (full original table),not sampled
149,Error of AHU Master Indoor unit's Room Sensor setting,yes,assumed (full original table),not sampled
150,RESERVED(DMS-SNET3 Error),yes,assumed (full original table),not sampled
151,Open error of electoronic expansion valve in indoor unit(2nd),yes,assumed (full original table),not sampled
152,Close error of electoronic expansion valve in indoor unit(2nd),yes,assumed (full original table),not sampled
153,2nd Float switch on indoor unit detection,yes,assumed (full original table),not sampled
154,Indoor unit Fan Error,yes,assumed (full original table),not sampled
155,"Indoor unit fan error, (the 2nd motor of indoor unit)",yes,assumed (full original table),not sampled
156,Indoor unit (EEV2) open error 2nd,yes,assumed (full original table),not sampled
157,Indoor unit (EEV2) close error 2nd,yes,assumed (full original table),not sampled
158,UDoor upper operation Error,yes,assumed (full original table),not sampled
159,UDoor lower operation Error,yes,assumed (full original table),not sampled
160,IDU drain pump lock error,yes,assumed (full original table),not sampled
161,More than 2 indoor units are heating and cooling simultaneously,yes,assumed (full original table),not sampled
162,Outdoor unit EEPROM error,yes,assumed (full original table),not sampled
163,EEPROM option setting error,yes,assumed (full original table),not sampled
164,"IDU EEPROM error (wrong EEPROM, download EEPROM or shoot again Option Code)",yes,assumed (full original table),not sampled
165,Elect Discharge Temp Protect Error,yes,assumed (full original table),not sampled
166,Electric motor related to no wind Error,yes,assumed (full original table),not sampled
167,Option code setting error on the indoor unit's dipswitches,yes,assumed (full original table),not sampled
168,IAQ Safety S/W Open Error,yes,assumed (full original table),not sampled
169,Error of AHU EEV,yes,assumed (full original table),not sampled
170,Temperature display setting error (settings for celsius and farenheir display mixed up),yes,assumed (full original table),not sampled
171,EVA-MID Break away,yes,assumed (full original table),not sampled
172,EVA-IN Break away,yes,assumed (full original table),not sampled
173,EVA-OUT Break away,yes,assumed (full original table),not sampled
174,"""Return air temp. sensor in ERV"" short/open",yes,assumed (full original table),not sampled
175,"""Outdoor temp. sensor in ERV"" short/open Error",yes,assumed (full original table),not sampled
177,Indoor unit control kit completes emergency stop. Check the indoor unit (control kit),yes,assumed (full original table),not sampled
180,MCU solenoid valve error. Opening in cooling and heating simultaneously (1st Detection),yes,assumed (full original table),not sampled
